Job Title,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min Salary,Max Salary
Data Scientist,3.3,NAVEX Global,"Lake Oswego, OR","Lake Oswego, OR",1001 to 5000 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),,90000.0,109000.0
Machine Learning Engineer,3.2,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015.0,Company - Private,Computer Hardware & Software,Information Technology,,,90000.0,109000.0
Machine Learning Engineer,3.2,Triplebyte,Remote,"San Francisco, CA",51 to 200 employees,2015.0,Company - Private,Computer Hardware & Software,Information Technology,,,90000.0,109000.0
Senior Data Engineer,4.9,Lendio,"Lehi, UT","Lehi, UT",201 to 500 employees,2011.0,Company - Private,Lending,Finance,$50 to $100 million (USD),,90000.0,109000.0
Data Scientist,4.2,Upstart,"San Mateo, CA","San Mateo, CA",201 to 500 employees,2012.0,Company - Private,Lending,Finance,,,90000.0,109000.0
Data Analyst,4.5,Envision LLC,"San Francisco, CA","Saint Louis, MO",201 to 500 employees,1994.0,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),,90000.0,109000.0
Data Engineer,4.8,AppLovin,"Palo Alto, CA","Palo Alto, CA",201 to 500 employees,2012.0,Company - Private,Video Games,Media,,,90000.0,109000.0
Data Integration and Modeling Engineer,3.8,ISO New England,"Holyoke, MA","Holyoke, MA",501 to 1000 employees,1997.0,Nonprofit Organization,Utilities,"Oil, Gas, Energy & Utilities",,,90000.0,109000.0
Tableau Data Engineer 20-0117,3.7,Relativity,"Chicago, IL","Chicago, IL",1001 to 5000 employees,2001.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,90000.0,109000.0
Senior Data Scientist,3.3,Tempo Automation,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2013.0,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 million (USD),,90000.0,109000.0
AI Data Scientist,3.3,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958.0,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",90000.0,109000.0
Machine Learning Engineer,5.0,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA",1 to 50 employees,2013.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),,90000.0,109000.0
Research Scientist Patient Preferences (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON",90000.0,109000.0
Data Scientist,3.4,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",1001 to 5000 employees,1982.0,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),"Arbella Insurance, Safety Insurance",90000.0,109000.0
Scientist - Biomarker and Flow Cytometry,2.4,Crown Bioscience,"San Diego, CA","San Diego, CA",501 to 1000 employees,2006.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),,90000.0,109000.0
Data Scientist,2.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),,90000.0,109000.0
Analytics Manager,4.4,OneMagnify,"Dearborn, MI","Detroit, MI",201 to 500 employees,1967.0,Company - Private,Advertising & Marketing,Business Services,,,90000.0,109000.0
Data Scientist,2.9,SPECTRUM,"Maryland Heights, MO","Stamford, CT",10000+ employees,2016.0,Subsidiary or Business Segment,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),,90000.0,109000.0
Staff Scientist- Upstream PD,2.7,Advanced BioScience Laboratories,"Rockville, MD","Rockville, MD",201 to 500 employees,1961.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$50 to $100 million (USD),,90000.0,109000.0
Data Engineer,4.2,Procore Technologies,"Carpinteria, CA","Carpinteria, CA",1001 to 5000 employees,2002.0,Company - Private,Computer Hardware & Software,Information Technology,,,90000.0,109000.0
Sr Scientist - Extractables & Leachables,3.5,Ritedose,"Columbia, SC","Columbia, SC",201 to 500 employees,1995.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,90000.0,109000.0
ELISA RESEARCH SCIENTIST (CV-15),,Covid-19 Search Partners,"Hauppauge, NY",-1,-1,,-1,-1,-1,-1,,90000.0,109000.0
Sr Data Scientist,4.2,bioMérieux,"Saint Louis, MO","Marcy-l'Etoile, France",10000+ employees,1963.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),,90000.0,109000.0
Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",101000.0,165000.0
Experienced Data Scientist,4.4,Guzman & Griffin Technologies (GGTI),"Washington, DC","Mays Landing, NJ",1 to 50 employees,1997.0,Company - Private,Federal Agencies,Government,,,101000.0,165000.0
Machine Learning Engineer,,Radical Convergence,"Reston, VA",-1,-1,,-1,-1,-1,-1,,101000.0,165000.0
Data Scientist,3.5,Leidos,"Fort Meade, MD","Reston, VA",10000+ employees,1969.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),,101000.0,165000.0
Data Scientist,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006.0,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus",101000.0,165000.0
Say Business Data Analyst,4.1,Shelter Insurance,"Columbia, MO","Columbia, MO",1001 to 5000 employees,1946.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,101000.0,165000.0
Geospatial Data Scientist,3.5,Maxar Technologies,"Chantilly, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,101000.0,165000.0
Data Analyst,2.7,USAC,"Washington, DC","Washington, DC",501 to 1000 employees,1997.0,Nonprofit Organization,Telecommunications Services,Telecommunications,$25 to $50 million (USD),,101000.0,165000.0
Computational Scientist,3.4,General Dynamics Information Technology,"Vicksburg, MS","Fairfax, VA",10000+ employees,1996.0,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",101000.0,165000.0
Data Scientist,4.4,Offerpad,"Chandler, AZ","Chandler, AZ",201 to 500 employees,2015.0,Company - Private,Real Estate,Real Estate,,,101000.0,165000.0
Senior Data Analyst,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,101000.0,165000.0
Senior Data Analyst,4.0,Autodesk,"San Francisco, CA","Herndon, VA",5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,101000.0,165000.0
Data Engineer,3.5,Magna International Inc.,"Birmingham, AL","Aurora, Canada",10000+ employees,1957.0,Company - Public,-1,-1,$10+ billion (USD),"Bosch, Lear Corporation, Faurecia",101000.0,165000.0
Sr Data Analyst,2.3,United BioSource,"Blue Bell, PA","Blue Bell, PA",1001 to 5000 employees,2003.0,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Covance, ICON",101000.0,165000.0
Data Scientist,3.4,Kelly,"Chicago, IL","Troy, MI",5001 to 10000 employees,1946.0,Company - Public,Staffing & Outsourcing,Business Services,$5 to $10 billion (USD),"Adecco, ManpowerGroup, Allegis Corporation",101000.0,165000.0
"Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,101000.0,165000.0
Data Scientist,4.7,C3.ai,"Redwood City, CA","Redwood City, CA",201 to 500 employees,2009.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"GE Digital, Palantir Technologies, Uptake",101000.0,165000.0
Senior Data Scientist - Algorithms,3.9,Quartet Health,"New York, NY","New York, NY",201 to 500 employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,101000.0,165000.0
Data Analyst,3.3,Midland Credit Management,"San Diego, CA","San Diego, CA",1001 to 5000 employees,1953.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,$1 to $2 billion (USD),PRA Group,101000.0,165000.0
Senior Data & Machine Learning Scientist,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,101000.0,165000.0
Data Engineer,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998.0,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),,101000.0,165000.0
"Data Scientist - Statistics, Early Career",3.7,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56000.0,97000.0
Data Scientist,3.5,Buckman,"Memphis, TN","Memphis, TN",1001 to 5000 employees,1945.0,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),,56000.0,97000.0
Machine Learning Engineer,3.5,Buckman,"Memphis, TN","Arlington, VA",501 to 1000 employees,1967.0,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),,56000.0,97000.0
Research Scientist - Patient-Centered Research (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON",56000.0,97000.0
Jr. Business Data Analyst (position added 6/12/2020),4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997.0,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),,56000.0,97000.0
Sr. Data Scientist II,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948.0,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),,56000.0,97000.0
Data Scientist,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),,56000.0,97000.0
Senior Data Analyst,3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008.0,Company - Public,Internet,Information Technology,,,56000.0,97000.0
Lead Data Scientist,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,56000.0,97000.0
Production Engineer - Statistics/Data Analysis,3.9,Natera,"San Carlos, CA","San Carlos, CA",501 to 1000 employees,2004.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Genomic Health, 23andMe, Illumina",56000.0,97000.0
Statistical Scientist,4.0,Genentech,"South San Francisco, CA","South San Francisco, CA",10000+ employees,1976.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,56000.0,97000.0
Computational Behavioral Scientist,4.2,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010.0,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8",56000.0,97000.0
Principal Data Scientist - Machine Learning,3.6,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,1995.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,,"Drip, iContact, Mailchimp",56000.0,97000.0
Principal Machine Learning Scientist,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,,56000.0,97000.0
Data Engineer,4.1,Shape Security,"Santa Clara, CA","Mountain View, CA",51 to 200 employees,2011.0,Company - Private,IT Services,Information Technology,,,56000.0,97000.0
Principal Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",56000.0,97000.0
Data Scientist,5.0,SkillSoniq,"San Francisco, CA","Jersey City, NJ",Unknown,,Company - Public,-1,-1,,,56000.0,97000.0
Senior Data Scientist - R&D Oncology,4.0,AstraZeneca,"New York, NY","Cambridge, United Kingdom",10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",56000.0,97000.0
Data Scientist,4.3,Joby Aviation,"San Carlos, CA","Santa Cruz, CA",51 to 200 employees,,Company - Private,-1,-1,,,56000.0,97000.0
"Health Plan Data Analyst, Sr",3.8,Cook Children's Health Care System,"Fort Worth, TX","Fort Worth, TX",5001 to 10000 employees,1918.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),"Children's Health, Texas Health Resources, Baylor Scott & White Health",56000.0,97000.0
"Principal Scientist/Associate Director, Quality Control and Analytical Technologies",3.8,Rubius Therapeutics,"Smithfield, RI","Cambridge, MA",201 to 500 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,56000.0,97000.0
Analytics - Business Assurance Data Analyst,4.6,GreatAmerica Financial Services,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992.0,Company - Private,Lending,Finance,$100 to $500 million (USD),,56000.0,97000.0
Data Scientist - Contract,4.1,Upside Business Travel,Remote,"Washington, DC",51 to 200 employees,2015.0,Company - Private,Internet,Information Technology,,,79000.0,106000.0
Data Scientist,3.4,Spectrum Communications and Consulting,"Chicago, IL","Chicago, IL",51 to 200 employees,1992.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,79000.0,106000.0
Data Scientist,4.1,Coverent,"McLean, VA","McLean, VA",51 to 200 employees,2008.0,Company - Private,Consulting,Business Services,$10 to $25 million (USD),,79000.0,106000.0
Machine Learning Engineer,3.7,Mteq,"Fort Belvoir, VA","Lorton, VA",501 to 1000 employees,1954.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek",79000.0,106000.0
Data Engineer,4.4,Rocket Lawyer,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008.0,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),,79000.0,106000.0
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,79000.0,106000.0
Data Engineer,3.6,Alion Science & Technology,"Linthicum Heights, MD","Mc Lean, VA",1001 to 5000 employees,2001.0,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD),,79000.0,106000.0
Data Science Instructor,4.5,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",79000.0,106000.0
Senior Business Intelligence Analyst,3.7,Protolabs,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999.0,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),,79000.0,106000.0
In-Line Inspection Data Analyst,2.9,Quest Integrity,"Tulsa, OK","Kent, WA",201 to 500 employees,1996.0,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),,79000.0,106000.0
Data Scientist - TS/SCI FSP or CI Required,5.0,Phoenix Operations Group,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011.0,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),,79000.0,106000.0
Data Scientist,3.4,Dice.com,"Newton, MA","Denver, CO",201 to 500 employees,1990.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist",79000.0,106000.0
Senior Data Scientist,3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,79000.0,106000.0
Data Scientist - TS/SCI Required,5.0,Phoenix Operations Group,"Baltimore, MD","Woodbine, MD",1 to 50 employees,2011.0,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),,79000.0,106000.0
Data Science Software Engineer,4.8,Klaviyo,"Boston, MA","Boston, MA",201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,,79000.0,106000.0
ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR,3.9,Southwest Research Institute,"Oklahoma City, OK","San Antonio, TX",1001 to 5000 employees,1947.0,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Los Alamos National Laboratory, Battelle, SRI International",79000.0,106000.0
AI Ops Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",79000.0,106000.0
"Intelligence Data Analyst, Senior",4.3,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010.0,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",79000.0,106000.0
Analytics Manager - Data Mart,3.5,Central California Alliance for Health,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),,79000.0,106000.0
Data Modeler (Analytical Systems),3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,79000.0,106000.0
"Senior Machine Learning Scientist - Bay Area, CA",3.3,Tempus Labs,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,79000.0,106000.0
Report Writer-Data Analyst,3.1,Security Finance Corporation of Spartanburg,"Spartanburg, SC","Spartanburg, SC",1001 to 5000 employees,1955.0,Company - Private,Lending,Finance,,,79000.0,106000.0
Data Scientist/Machine Learning,4.3,PulsePoint,"New York, NY","New York, NY",51 to 200 employees,2011.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",71000.0,123000.0
Data Scientist - Risk,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,1996.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,71000.0,123000.0
Data Engineer,4.4,Resurgent Capital Services,"Cincinnati, OH","Greenville, SC",201 to 500 employees,1998.0,Company - Private,Venture Capital & Private Equity,Finance,$50 to $100 million (USD),,71000.0,123000.0
Staff Data Scientist - Pricing,3.6,Opendoor,"San Francisco, CA","San Francisco, CA",501 to 1000 employees,2014.0,Company - Private,Real Estate,Real Estate,$2 to $5 billion (USD),,71000.0,123000.0
Data Scientist,4.5,Global Data Management Inc,"Hartford, CT","Woodbridge, NJ",51 to 200 employees,2008.0,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,71000.0,123000.0
Data Scientist,3.0,Photon Infotech,"Chicago, IL","Chennai, India",1001 to 5000 employees,1999.0,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),,71000.0,123000.0
Data Scientist,5.0,REE,United States,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018.0,Company - Private,Transportation Equipment Manufacturing,Manufacturing,,,71000.0,123000.0
Machine Learning Engineer,3.6,Riverside Research Institute,"Beavercreek, OH","Arlington, VA",501 to 1000 employees,1967.0,Nonprofit Organization,Federal Agencies,Government,$50 to $100 million (USD),,71000.0,123000.0
Equity Data Insights Analyst - Quantitative Analyst,3.6,T. Rowe Price,"Baltimore, MD","Baltimore, MD",5001 to 10000 employees,1937.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,71000.0,123000.0
Data Scientist,,"Encode, Inc.","Norfolk, VA","Manalapan, NJ",1 to 50 employees,,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,71000.0,123000.0
Research Scientist - Patient-Centered Research (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",501 to 1000 employees,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"IQVIA, ICON",71000.0,123000.0
Data Scientist,3.3,BWX Technologies,"Oak Ridge, TN","Lynchburg, VA",5001 to 10000 employees,1850.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),,71000.0,123000.0
Operations Data Analyst,3.8,Brighthouse Financial,"Charlotte, NC","Charlotte, NC",1001 to 5000 employees,2017.0,Company - Public,Insurance Carriers,Insurance,,,71000.0,123000.0
Sr. Data Scientist II,3.5,Argo Group US,"New York, NY","Hamilton, Bermuda",1001 to 5000 employees,1948.0,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),,71000.0,123000.0
Data Scientist,3.3,II-VI Incorporated,"Champaign, IL","Saxonburg, PA",10000+ employees,1971.0,Company - Public,Telecommunications Manufacturing,Telecommunications,$1 to $2 billion (USD),"Lumentum Operations, Keysight Technologies, O-Net Technologies",71000.0,123000.0
Data Scientist,4.6,Surya Systems,"San Francisco, CA","Bristol, PA",1 to 50 employees,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),,71000.0,123000.0
Data Scientist,3.8,PayPal,Texas,"San Jose, CA",10000+ employees,1998.0,Company - Public,Internet,Information Technology,$10+ billion (USD),"Square, Amazon, Apple",71000.0,123000.0
Senior Data Analyst,3.9,Life360,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008.0,Company - Public,Internet,Information Technology,,,71000.0,123000.0
Data Scientist,3.9,Predictive Research Inc,"Plano, TX","Bangalore, India",1 to 50 employees,,Company - Private,Consulting,Business Services,,,71000.0,123000.0
Data Scientist,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,90000.0,124000.0
Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,"Sheboygan, WI","Sheboygan, WI",1001 to 5000 employees,1925.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),,90000.0,124000.0
Software Data Engineer,3.1,1010data,"New York, NY","New York, NY",201 to 500 employees,2000.0,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),,90000.0,124000.0
Data Scientist,3.6,Gigya,"Palo Alto, CA","Mountain View, CA",201 to 500 employees,2006.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,90000.0,124000.0
Real World Evidence (RWE) Scientist,5.0,Genesis Research,"Hoboken, NJ","Hoboken, NJ",1 to 50 employees,2009.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,90000.0,124000.0
Data Scientist,3.7,Sanofi,"Cambridge, MA","Paris, France",10000+ employees,1973.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Pfizer, GlaxoSmithKline",90000.0,124000.0
Data Scientist,3.7,XPO Logistics,"Lebanon, IN","Greenwich, CT",10000+ employees,2011.0,Company - Public,Transportation Management,Transportation & Logistics,$10+ billion (USD),"DHL Supply Chain, UPS, FedEx",90000.0,124000.0
Data Scientist,3.9,Trace Data,"Oakland, CA","Santa Ana, CA",51 to 200 employees,2000.0,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),,90000.0,124000.0
Data Scientist,4.3,Descript,"San Francisco, CA","Houston, TX",1 to 50 employees,,Company - Private,-1,-1,Less than $1 million (USD),,90000.0,124000.0
Computer Scientist 1,4.2,Rincon Research Corporation,"Melbourne, FL","Tucson, AZ",201 to 500 employees,1983.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"Raytheon Technologies, General Dynamics, MIT Lincoln Laboratory",90000.0,124000.0
Lead Data Scientist,3.7,MassMutual,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),,90000.0,124000.0
Data Scientist,4.0,Better Hire,"Birmingham, AL","Birmingham, AL",1 to 50 employees,,Company - Private,-1,-1,,,90000.0,124000.0
Data Scientist,3.3,Parker Hannifin,"Cleveland, OH","Cleveland, OH",10000+ employees,1917.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"Eaton, SMC Corporation, Bosch Rexroth",90000.0,124000.0
Data Scientist,4.1,Gallup,"New York, NY","Washington, DC",1001 to 5000 employees,1935.0,Company - Private,Consulting,Business Services,,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",90000.0,124000.0
Data Scientist,3.3,Insider Inc,"New York, NY","New York, NY",201 to 500 employees,2007.0,Company - Private,News Outlet,Media,$50 to $100 million (USD),,90000.0,124000.0
Data Scientist,3.9,Rapid Value Solutions,"San Francisco, CA","Pleasanton, CA",201 to 500 employees,2009.0,Company - Private,IT Services,Information Technology,,,90000.0,124000.0
Environmental Data Science,3.1,Battelle,"Norwell, MA","Columbus, OH",10000+ employees,1929.0,Nonprofit Organization,Research & Development,Business Services,$5 to $10 billion (USD),,90000.0,124000.0
Computational Behavioral Scientist,4.2,Ntrepid,"Herndon, VA","Herndon, VA",201 to 500 employees,2010.0,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Bromium, FireEye, Authentic8",90000.0,124000.0
Data Scientist,5.0,"The Drive Media, Inc.","New York, NY",-1,Unknown,,Unknown,-1,-1,,,90000.0,124000.0
Staff BI and Data Engineer,2.9,Affinity Solutions,"San Jose, CA","New York, NY",51 to 200 employees,1998.0,Company - Private,Advertising & Marketing,Business Services,,"Commerce Signals, Cardlytics, Yodlee",90000.0,124000.0
Principal Machine Learning Scientist,4.7,Sage Intacct,"San Francisco, CA","San Jose, CA",501 to 1000 employees,1999.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,,90000.0,124000.0
Principal Data Scientist - Machine Learning,3.6,Constant Contact,"Waltham, MA","Waltham, MA",Unknown,1995.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,,"Drip, iContact, Mailchimp",90000.0,124000.0
Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,"Lexington, MA","Lexington, MA",1001 to 5000 employees,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,,91000.0,150000.0
Associate Data Scientist,3.3,Puget Sound Energy,"Bothell, WA","Bellevue, WA",1001 to 5000 employees,1999.0,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD),,91000.0,150000.0
"Data Scientist - Statistics, Mid-Career",3.7,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",91000.0,150000.0
